,counts,year,month,day,hour,minute
0,0.803030303030303,2023,10,10,17,43
1,0.015151515151515152,2023,12,13,20,51
2,0.015151515151515152,2023,12,12,12,59
3,0.015151515151515152,2023,12,10,13,40
4,0.015151515151515152,2023,12,10,1,21
5,0.030303030303030304,2023,12,9,2,56
6,0.015151515151515152,2023,12,8,14,26
7,0.015151515151515152,2023,12,7,20,46
8,0.030303030303030304,2023,12,6,17,19
9,0.015151515151515152,2023,12,4,1,40
10,0.015151515151515152,2023,12,3,22,36
11,0.045454545454545456,2023,12,1,11,11
12,0.06060606060606061,2023,11,25,18,40
13,0.015151515151515152,2023,11,25,12,26
14,0.015151515151515152,2023,11,25,9,50
15,0.015151515151515152,2023,11,25,7,36
16,0.030303030303030304,2023,11,23,13,28
17,0.015151515151515152,2023,11,20,4,27
18,0.015151515151515152,2023,11,19,14,11
19,0.015151515151515152,2023,11,18,11,6
20,0.015151515151515152,2023,11,16,20,5
21,0.015151515151515152,2023,11,16,1,29
22,0.015151515151515152,2023,11,15,17,15
23,0.015151515151515152,2023,11,14,17,40
24,0.015151515151515152,2023,11,14,5,6
25,0.015151515151515152,2023,11,13,17,8
26,0.045454545454545456,2023,11,13,16,33
27,0.015151515151515152,2023,11,13,12,5
28,0.015151515151515152,2023,11,13,0,51
29,0.030303030303030304,2023,11,13,0,36
30,0.015151515151515152,2023,11,12,18,32
31,0.015151515151515152,2023,11,12,17,21
32,0.030303030303030304,2023,11,12,6,8
33,0.015151515151515152,2023,11,12,1,49
34,0.030303030303030304,2023,11,12,1,44
35,0.015151515151515152,2023,11,11,23,21
36,0.07575757575757576,2023,11,11,16,35
37,0.030303030303030304,2023,11,11,4,25
38,0.030303030303030304,2023,11,11,4,25
39,0.045454545454545456,2023,11,10,19,23
40,0.030303030303030304,2023,11,10,14,5
41,0.045454545454545456,2023,11,10,12,33
42,0.030303030303030304,2023,11,9,9,44
43,0.045454545454545456,2023,11,8,20,34
44,0.030303030303030304,2023,11,8,14,25
45,0.015151515151515152,2023,11,8,13,52
46,0.045454545454545456,2023,11,8,12,18
47,0.045454545454545456,2023,11,8,10,48
48,0.030303030303030304,2023,11,6,19,8
49,0.030303030303030304,2023,11,6,8,34
50,0.015151515151515152,2023,11,4,6,21
51,0.015151515151515152,2023,11,4,1,51
52,0.015151515151515152,2023,11,3,17,43
53,0.015151515151515152,2023,11,2,15,30
54,0.015151515151515152,2023,11,24,21,41
55,0.015151515151515152,2023,10,22,17,39
56,0.015151515151515152,2023,10,11,22,5
57,0.015151515151515152,2023,9,25,11,16
58,0.015151515151515152,2023,9,13,15,27
59,0.015151515151515152,2023,7,17,21,27
60,0.015151515151515152,2023,7,14,17,10
61,0.015151515151515152,2023,6,15,5,9
62,0.015151515151515152,2023,5,12,0,29
63,0.09090909090909091,2023,5,3,18,51
64,0.030303030303030304,2023,4,28,14,13
65,0.015151515151515152,2023,4,25,5,25
66,0.13636363636363635,2023,4,18,12,16
67,0.030303030303030304,2023,4,10,16,47
68,0.10606060606060606,2023,3,29,22,28
69,0.13636363636363635,2023,3,26,11,6
70,0.015151515151515152,2023,3,15,2,55
71,0.015151515151515152,2023,2,27,13,17
72,0.015151515151515152,2023,2,25,2,5
73,0.030303030303030304,2023,1,29,14,10
74,0.030303030303030304,2022,12,23,11,30
75,0.015151515151515152,2022,11,26,17,19
76,0.015151515151515152,2022,10,12,14,23
77,0.015151515151515152,2022,9,29,12,44
78,0.015151515151515152,2022,9,26,10,50
79,0.803030303030303,2022,8,28,4,40
80,0.015151515151515152,2022,7,26,7,23
81,0.5757575757575758,2022,7,26,5,35
82,0.015151515151515152,2022,7,23,18,2
83,0.07575757575757576,2022,6,27,7,16
84,0.18181818181818182,2022,5,27,0,15
85,0.015151515151515152,2022,5,24,14,45
86,0.19696969696969696,2022,5,21,15,52
87,0.015151515151515152,2022,5,11,12,56
88,0.015151515151515152,2022,5,5,17,0
89,0.10606060606060606,2022,3,9,6,47
